>Transposon251	seq1:[+]29700-29860 (160)
hAT,TIR,DNATransposon 2/1/2  0.3 0.5 0.5 0.3 0.1 0.1 0.3 0.7 0.6 0.9 0.2 0.3 0.0 0.1 0.1 0.0 0.0 0.0 
>Transposon263	seq1:[+]377969-378142 (173)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.4 0.5 0.1 0.2 0.5 0.7 0.8 0.5 0.2 0.3 0.1 0.0 0.2 0.0 0.0 0.2 
>Transposon264	seq1:[+]394806-394913 (107)
Zator,TIR,DNATransposon 2/1/5  0.4 0.3 0.2 0.5 0.3 0.2 0.4 0.6 0.7 0.6 0.1 0.3 0.4 0.0 0.7 0.0 0.0 0.1 
>Transposon265	seq1:[+]412419-412596 (177)
hAT,TIR,DNATransposon 2/1/2  0.2 0.9 0.3 0.5 0.0 0.2 0.5 0.4 0.5 0.9 0.0 0.5 0.2 0.2 0.1 0.1 0.0 0.4 
>Transposon266	seq1:[+]414456-414539 (83)
CMC,TIR,DNATransposon 2/1/3  0.0 0.8 0.1 0.5 0.1 0.3 0.1 0.6 1.0 0.9 0.1 0.1 0.5 0.0 0.5 0.2 0.0 0.0 
>Transposon267	seq1:[+]414701-414872 (171)
hAT,TIR,DNATransposon 2/1/2  0.1 0.5 0.2 0.7 0.0 0.3 0.5 0.6 1.0 1.0 0.0 0.4 0.3 0.2 0.2 0.1 0.1 0.1 
>Transposon268	seq1:[+]427475-427641 (166)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.5 0.6 0.0 0.1 0.3 0.5 0.9 0.7 0.2 0.3 0.0 0.3 0.3 0.0 0.0 0.1 
>Transposon269	seq1:[+]477299-477462 (163)
Zator,TIR,DNATransposon 2/1/5  0.2 0.9 0.3 0.7 0.0 0.2 0.3 0.6 0.8 0.8 0.1 0.4 0.2 0.4 0.6 0.0 0.0 0.2 
>Transposon270	seq1:[+]487589-487767 (178)
Zator,TIR,DNATransposon 2/1/5  0.1 0.6 0.2 0.5 0.1 0.4 0.1 0.5 0.8 1.0 0.2 0.0 0.4 0.1 0.6 0.0 0.0 0.0 
>Transposon271	seq1:[+]517494-517662 (168)
hAT,TIR,DNATransposon 2/1/2  0.1 0.7 0.2 0.5 0.2 0.0 0.2 0.4 0.8 0.7 0.0 0.3 0.1 0.2 0.3 0.0 0.0 0.1 
>Transposon272	seq1:[+]542478-542647 (169)
hAT,TIR,DNATransposon 2/1/2  0.0 0.7 0.3 0.0 0.0 0.2 0.3 0.3 0.9 0.8 0.0 0.5 0.0 0.0 0.4 0.0 0.0 0.0 
>Transposon273	seq1:[+]542506-542606 (100)
hAT,TIR,DNATransposon 2/1/2  0.3 0.6 0.3 0.4 0.0 0.0 0.5 0.6 1.0 0.7 0.3 0.4 0.0 0.1 0.4 0.2 0.2 0.3 
>Transposon274	seq1:[+]543737-543837 (100)
hAT,TIR,DNATransposon 2/1/2  0.3 0.8 0.4 0.6 0.1 0.1 0.4 0.7 0.8 0.7 0.0 0.3 0.2 0.1 0.3 0.1 0.0 0.0 
>Transposon275	seq1:[+]608215-608384 (169)
hAT,TIR,DNATransposon 2/1/2  0.5 0.7 0.2 0.3 0.0 0.1 0.3 0.7 0.6 0.9 0.1 0.5 0.0 0.1 0.1 0.0 0.0 0.0 
>Transposon276	seq1:[+]610256-610429 (173)
hAT,TIR,DNATransposon 2/1/2  0.1 0.9 0.6 0.5 0.0 0.0 0.0 0.6 0.9 0.8 0.3 0.4 0.0 0.1 0.4 0.1 0.1 0.2 
>Transposon277	seq1:[+]620648-620972 (324)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.8 0.2 0.1 0.6 0.8 1.0 1.0 0.3 0.1 0.2 0.1 0.5 0.0 0.0 0.1 
>Transposon278	seq2:[+]129489-132511 (3022)
Zator,TIR,DNATransposon 2/1/5  0.4 0.9 0.5 0.4 0.4 0.2 0.6 0.2 0.7 0.8 0.3 0.5 0.2 0.2 0.6 0.3 0.0 0.6 
>Transposon279	seq2:[+]132448-135453 (3005)
Copia,LTR,Retrotransposon 1/1/1  0.8 0.9 0.5 0.4 0.1 0.2 0.5 0.3 0.5 0.6 0.1 0.2 0.1 0.0 0.5 0.2 0.4 0.3 
>Transposon280	seq2:[+]135508-138417 (2909)
hAT,TIR,DNATransposon 2/1/2  0.5 0.8 0.5 0.4 0.2 0.0 0.8 0.4 0.7 1.0 0.2 0.5 0.1 0.1 0.4 0.1 0.0 0.6 
>Transposon281	seq2:[+]138287-141252 (2965)
Zator,TIR,DNATransposon 2/1/5  0.4 0.8 0.4 0.3 0.2 0.4 0.7 0.3 0.8 0.9 0.2 0.2 0.2 0.2 0.5 0.0 0.2 0.3 
>Transposon282	seq2:[+]350413-352383 (1970)
hAT,TIR,DNATransposon 2/1/2  0.5 0.8 0.3 0.7 0.1 0.3 0.4 0.6 0.6 0.7 0.0 0.6 0.6 0.3 0.5 0.1 0.3 0.2 


#Explanation:
#forecast forecast 1 1/1 1/1/1 1/1/2 1/1/3 1/2 1/2/1 1/2/2 2 2/1 2/1/1 2/1/2 2/1/3 2/1/4 2/1/5 2/1/6 2/2 2/3 
