>Transposon1	seq1:[+]103436-112025 (8589)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.2 0.7 0.2 0.0 0.6 0.4 1.0 0.9 0.1 0.1 0.2 0.3 0.6 0.0 0.0 0.0 
>Transposon43 	seq1:[+]40599-40675 (76)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.1 0.7 0.1 0.1 0.6 0.5 1.0 0.8 0.5 0.1 0.0 0.3 0.8 0.0 0.0 0.3 
>Transposon44 	seq1:[+]44663-44763 (100)
CMC,TIR,DNATransposon 2/1/3  0.1 0.9 0.2 0.6 0.0 0.3 0.4 0.9 0.9 1.0 0.1 0.1 0.3 0.0 0.3 0.0 0.0 0.1 
>Transposon45 	seq1:[+]44738-45224 (486)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.4 0.1 0.1 0.5 0.7 1.0 0.9 0.0 0.0 0.2 0.0 0.6 0.0 0.1 0.0 
>Transposon46 	seq1:[+]45672-45867 (195)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.6 0.4 0.0 0.0 0.6 0.5 0.8 0.8 0.0 0.1 0.2 0.0 0.8 0.0 0.1 0.0 
>Transposon47 	seq1:[+]46044-46365 (321)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.0 0.6 0.0 0.1 0.5 0.5 1.0 1.0 0.1 0.0 0.1 0.1 0.6 0.0 0.0 0.0 
>Transposon48 	seq1:[+]46182-46577 (395)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9666666666666666 0.1 0.9 0.1 0.2 0.4 0.5 1.0 0.9 0.0 0.0 0.2 0.1 0.7 0.0 0.0 0.0 
>Transposon49 	seq1:[+]47594-48209 (615)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.4 0.7 0.0 0.4 0.5 0.4 1.0 1.0 0.0 0.1 0.2 0.2 0.7 0.0 0.1 0.1 
>Transposon50 	seq1:[+]157351-157413 (62)
MITE,DNATransposon 2/3  0.0 1.0 0.3 0.5 0.0 0.1 0.6 0.5 1.0 0.5 0.2 0.3 0.0 0.4 0.5 0.2 0.0 0.6 
>Transposon51 	seq1:[+]164481-164669 (188)
Sola,TIR,DNATransposon 2/1/4  0.1 0.9 0.5 0.6 0.0 0.0 0.4 0.2 1.0 1.0 0.2 0.0 0.1 0.3 0.3 0.0 0.0 0.1 
>Transposon52 	seq1:[+]215766-215941 (175)
Sola,TIR,DNATransposon 2/1/4  0.0 0.6 0.3 0.3 0.0 0.2 0.0 0.8 1.0 1.0 0.0 0.0 0.0 0.2 0.2 0.0 0.0 0.1 
>Transposon53 	seq1:[+]267270-267323 (53)
Zator,TIR,DNATransposon 2/1/5  0.3 0.9 0.0 0.6 0.1 0.3 0.6 0.3 1.0 0.6 0.1 0.0 0.2 0.4 0.6 0.0 0.0 0.3 
>Transposon54 	seq1:[+]290732-290787 (55)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.2 0.6 0.5 0.2 0.0 0.5 0.3 0.4 0.9 0.7 0.6 0.2 0.0 0.1 0.2 0.1 0.0 0.3 
>Transposon55 	seq1:[+]307107-307343 (236)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.2 0.0 0.1 0.3 0.6 1.0 1.0 0.3 0.0 0.0 0.1 0.7 0.0 0.0 0.0 
>Transposon56 	seq1:[+]368037-368261 (224)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.2 0.6 0.1 0.4 0.4 0.6 1.0 0.8 0.3 0.1 0.4 0.0 0.525 0.0 0.0 0.2 
>Transposon57 	seq1:[+]386338-386518 (180)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.4 0.5 0.0 0.1 0.5 0.5 1.0 1.0 0.0 0.1 0.3 0.2 0.1 0.1 0.0 0.0 
>Transposon58 	seq1:[+]387297-387508 (211)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.4 0.7 0.0 0.1 0.2 0.7 1.0 1.0 0.0 0.1 0.3 0.0 0.5 0.0 0.0 0.0 
>Transposon59 	seq1:[+]390261-390700 (439)
Zator,TIR,DNATransposon 2/1/5  0.0 0.4 0.3 0.8 0.0 0.2 0.3 1.0 0.9 0.8 0.0 0.1 0.1 0.4 0.7 0.0 0.0 0.2 
>Transposon60 	seq1:[+]393357-393869 (512)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.5 0.1 0.4 0.2 0.4 1.0 1.0 0.0 0.0 0.1 0.1 0.5 0.0 0.1 0.0 
>Transposon61 	seq1:[+]393562-393768 (206)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.6 0.1 0.3 0.3 0.7 1.0 0.9 0.2 0.0 0.3 0.1 0.6 0.0 0.0 0.1 
>Transposon62 	seq1:[+]393566-393751 (185)
Zator,TIR,DNATransposon 2/1/5  0.1 0.7 0.2 0.4 0.1 0.4 0.4 0.7 1.0 1.0 0.2 0.1 0.0 0.2 1.0 0.0 0.0 0.2 
>Transposon63 	seq1:[+]393632-393713 (81)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.4 0.8 0.0 0.4 0.5 0.7 1.0 0.8 0.3 0.0 0.0 0.4 0.5 0.2 0.0 0.2 
>Transposon64 	seq1:[+]396370-396653 (283)
Zator,TIR,DNATransposon 2/1/5  0.1 0.7 0.2 0.6 0.0 0.2 0.3 0.9 1.0 0.9 0.1 0.1 0.0 0.1 0.7 0.0 0.0 0.2 
>Transposon65 	seq1:[+]396596-396679 (83)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.3 0.4 0.0 0.3 0.6 0.5 0.9 0.7 0.1 0.1 0.1 0.1 0.8 0.0 0.0 0.2 
>Transposon66 	seq1:[+]413312-413842 (530)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.2 0.6 0.0 0.2 0.3 0.4 0.9 0.9 0.0 0.1 0.5 0.1 0.625 0.0 0.0 0.1 
>Transposon67 	seq1:[+]413488-413760 (272)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.3 0.6 0.0 0.3 0.4 0.5 1.0 0.9 0.2 0.1 0.1 0.2 0.7 0.1 0.0 0.3 
>Transposon68 	seq1:[+]413653-414187 (534)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9666666666666666 0.2 0.8 0.1 0.2 0.6 0.6 1.0 0.9 0.0 0.1 0.3 0.0 0.4 0.0 0.0 0.0 
>Transposon69 	seq1:[+]413747-414051 (304)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.2 0.8 0.1 0.2 0.5 0.7 1.0 1.0 0.0 0.0 0.3 0.1 0.7 0.0 0.0 0.0 
>Transposon70 	seq1:[+]413758-413845 (87)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.1 0.8 0.0 0.2 0.3 0.6 0.8 0.9 0.1 0.3 0.3 0.4 0.6 0.0 0.0 0.1 
>Transposon71 	seq1:[+]414044-414451 (407)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.0 1.0 0.2 0.7 0.1 0.4 0.5 0.6 1.0 0.8 0.3 0.0 0.2 0.1 0.3 0.0 0.0 0.1 
>Transposon72 	seq1:[+]416217-416553 (336)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.7 0.0 0.2 0.4 0.7 1.0 0.9 0.0 0.0 0.0 0.2 0.6 0.1 0.1 0.0 
>Transposon73 	seq1:[+]433798-434058 (260)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.3 0.5 0.0 0.1 0.3 0.7 1.0 0.8 0.0 0.0 0.4 0.1 0.3 0.0 0.0 0.0 
>Transposon74 	seq1:[+]454605-454882 (277)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.3 0.5 0.0 0.1 0.5 0.6 1.0 1.0 0.0 0.1 0.0 0.1 0.7 0.0 0.2 0.0 
>Transposon75 	seq1:[+]455980-456068 (88)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.2 0.4 0.0 0.2 0.4 0.8 0.9 0.5 0.3 0.1 0.3 0.0 0.6 0.1 0.0 0.1 
>Transposon76 	seq1:[+]459988-460273 (285)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.0 0.6 0.1 0.2 0.4 0.7 1.0 1.0 0.1 0.1 0.5 0.3 0.6 0.0 0.0 0.0 
>Transposon77 	seq1:[+]462862-463002 (140)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.3 0.7 0.0 0.2 0.7 0.3 0.9 0.9 0.0 0.0 0.0 0.0 0.9 0.0 0.0 0.1 
>Transposon78 	seq1:[+]462911-463002 (91)
Sola,TIR,DNATransposon 2/1/4  0.0 0.9 0.3 0.4 0.1 0.2 0.8 0.4 0.8 0.8 0.2 0.0 0.0 0.4 0.3 0.1 0.0 0.4 
>Transposon79 	seq1:[+]474935-475613 (678)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.0 0.4 0.0 0.1 0.4666666666666666 0.3 0.8 0.8 0.0 0.3 0.0 0.0 0.8 0.1 0.0 0.0 
>Transposon80 	seq1:[+]476159-476223 (64)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.4 0.4 0.1 0.3 0.3 0.4 0.7 0.9 0.0 0.0 0.3 0.5 0.6 0.0 0.0 0.2 
>Transposon81 	seq1:[+]476354-476580 (226)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.2 0.6 0.0 0.1 0.4 0.7 1.0 0.9 0.1 0.1 0.0 0.2 0.8 0.0 0.0 0.0 
>Transposon82 	seq1:[+]477626-477979 (353)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.0 0.6 0.0 0.1 0.3 0.4 1.0 1.0 0.0 0.0 0.0 0.1 0.2 0.0 0.0 0.0 
>Transposon83 	seq1:[+]538810-539069 (259)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.4 0.6 0.1 0.3 0.6 0.4 1.0 1.0 0.1 0.0 0.0 0.0 0.7 0.0 0.1 0.0 
>Transposon84 	seq1:[+]558418-558839 (421)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.2 0.6 0.1 0.1 0.4 0.3 1.0 0.9 0.0 0.1 0.0 0.2 0.7 0.0 0.0 0.0 
>Transposon85 	seq1:[+]653019-653139 (120)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.2 0.6 0.1 0.1 0.8 0.3 0.9 1.0 0.0 0.0 0.0 0.1 0.7 0.0 0.0 0.0 
>Transposon86 	seq1:[+]663839-664398 (559)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.4 0.6 0.0 0.1 0.7 0.7 0.9 1.0 0.1 0.0 0.2 0.2 0.8 0.0 0.0 0.0 
>Transposon87 	seq1:[+]664303-664383 (80)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.3 0.4 0.0 0.1 0.3 0.5 0.9 0.8 0.0 0.0 0.3 0.3 0.3 0.1 0.1 0.1 
>Transposon88 	seq1:[+]664845-665624 (779)
Zator,TIR,DNATransposon 2/1/5  0.1 1.0 0.3 0.5 0.0 0.1 0.4 0.3 1.0 0.8 0.0 0.1 0.3 0.2 0.6 0.1 0.2 0.0 
>Transposon89 	seq1:[+]667905-668048 (143)
CMC,TIR,DNATransposon 2/1/3  0.0 0.8 0.3 0.8 0.0 0.3 0.2 0.9 1.0 0.8 0.0 0.0 0.5 0.1 0.3 0.0 0.0 0.1 
>Transposon90 	seq1:[+]670803-671110 (307)
Sola,TIR,DNATransposon 2/1/4  0.0 1.0 0.0 0.4 0.0 0.3 0.2 0.7 1.0 1.0 0.0 0.2 0.0 0.3 0.2 0.0 0.0 0.0 
>Transposon91 	seq1:[-]709607-709852 (245)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.5 0.5 0.0 0.2 0.2 0.5 1.0 0.8 0.0 0.0 0.0 0.1 0.7 0.0 0.0 0.0 
>Transposon92 	seq1:[-]666737-666792 (55)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.4 0.6 0.0 0.6 0.3 0.7 1.0 0.6 0.0 0.3 0.6 0.2 0.5 0.0 0.0 0.3 
>Transposon93 	seq1:[-]476177-476599 (422)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.4 0.3 0.0 0.1 0.4 0.6 1.0 1.0 0.0 0.0 0.4 0.0 0.4 0.0 0.0 0.0 
>Transposon94 	seq1:[-]473135-473226 (91)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.4 0.3 0.0 0.3 0.4 0.7 1.0 1.0 0.0 0.1 0.1 0.4 0.6 0.0 0.0 0.2 
>Transposon95 	seq1:[-]462566-462869 (303)
Zator,TIR,DNATransposon 2/1/5  0.1 0.7 0.2 0.5 0.1 0.0 0.4 0.6 1.0 0.9 0.0 0.1 0.0 0.1 0.6 0.0 0.0 0.0 
>Transposon96 	seq1:[-]459997-460600 (603)
Sola,TIR,DNATransposon 2/1/4  0.1 0.9 0.3 0.9 0.0 0.2 0.5 0.6 1.0 1.0 0.3 0.0 0.2 0.4 0.3 0.1 0.0 0.0 
>Transposon97 	seq1:[-]459987-460432 (445)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.4 0.7 0.0 0.3 0.5 0.6 1.0 1.0 0.1 0.0 0.3 0.3 0.4 0.0 0.1 0.0 
>Transposon98 	seq1:[-]415816-415865 (49)
MITE,DNATransposon 2/3  0.3 0.8 0.4 0.5 0.1 0.6 0.3 0.5 0.9 0.4 0.1 0.3 0.4 0.4 0.5 0.2 0.0 0.6 
>Transposon99 	seq1:[-]414180-414442 (262)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.5 0.0 0.3 0.1 0.7 0.9 0.7 0.2 0.1 0.2 0.2 0.6 0.0 0.0 0.3 
>Transposon100 	seq1:[-]414114-414364 (250)
Zator,TIR,DNATransposon 2/1/5  0.1 0.7 0.3 0.7 0.0 0.3 0.2 0.8 0.9 0.8 0.3 0.0 0.0 0.1 0.6 0.0 0.0 0.2 
>Transposon101 	seq1:[-]413926-414293 (367)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.4 0.7 0.0 0.3 0.4 0.7 1.0 0.9 0.1 0.3 0.2 0.3 0.7 0.0 0.0 0.0 
>Transposon102 	seq1:[-]413329-414052 (723)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.6 0.0 0.2 0.4 0.5 1.0 0.9 0.1 0.1 0.3 0.0 0.5 0.0 0.1 0.0 
>Transposon103 	seq1:[-]413702-413980 (278)
CMC,TIR,DNATransposon 2/1/3  0.1 0.9 0.3 0.4 0.1 0.3 0.5 0.7 0.9 0.7 0.1 0.0 0.4 0.2 0.2 0.1 0.1 0.1 
>Transposon104 	seq1:[-]413250-413838 (588)
CMC,TIR,DNATransposon 2/1/3  0.0 0.9 0.1 0.8 0.0 0.2 0.5 0.7 0.9 0.8 0.0 0.1 0.5 0.1 0.3 0.0 0.1 0.2 
>Transposon105 	seq1:[-]413250-413493 (243)
CMC,TIR,DNATransposon 2/1/3  0.1 0.9 0.5 0.5 0.1 0.4 0.2 0.8 1.0 0.8 0.3 0.2 0.5 0.1 0.4 0.0 0.0 0.1 
>Transposon106 	seq1:[-]393932-394000 (68)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.5 0.6 0.1 0.5 0.3 0.6 0.9 0.9 0.1 0.0 0.0 0.3 0.5 0.1 0.0 0.2 
>Transposon107 	seq1:[-]393508-393752 (244)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.6 0.0 0.3 0.6 0.6 1.0 0.9 0.0 0.2 0.1 0.3 0.7 0.0 0.0 0.1 
>Transposon108 	seq1:[-]386976-387446 (470)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.4 0.0 0.1 0.4 0.7 1.0 0.9 0.0 0.0 0.5 0.0 0.7 0.1 0.0 0.0 
>Transposon109 	seq1:[-]386888-387446 (558)
Zator,TIR,DNATransposon 2/1/5  0.2 0.9 0.2 0.3 0.0 0.1 0.6 0.6 1.0 0.9 0.0 0.0 0.4 0.0 0.8 0.1 0.0 0.0 
>Transposon110 	seq1:[-]262599-262704 (105)
Sola,TIR,DNATransposon 2/1/4  0.1 0.7 0.3 0.5 0.0 0.3 0.6 0.3 1.0 1.0 0.1 0.0 0.0 0.5 0.3 0.0 0.0 0.1 
>Transposon111 	seq1:[-]137399-137532 (133)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.2 0.7 0.4 0.6 0.0 0.1 0.1 0.7 0.9 0.8 0.3 0.1 0.2 0.1 0.3 0.0 0.0 0.1 
>Transposon112 	seq1:[-]65112-65296 (184)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.4 0.5 0.1 0.1 0.7 0.4 0.9 1.0 0.4 0.0 0.0 0.4 0.5 0.0 0.0 0.0 
>Transposon113 	seq1:[-]48966-49304 (338)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.0 0.5 0.0 0.2 0.6 0.5 1.0 1.0 0.1 0.0 0.2 0.2 0.6 0.0 0.2 0.0 
>Transposon114 	seq1:[-]45631-45721 (90)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.2 0.0 0.1 0.8 0.4 1.0 0.8 0.2 0.0 0.1 0.1 0.8 0.0 0.0 0.1 
>Transposon115 	seq1:[-]44427-44842 (415)
CMC,TIR,DNATransposon 2/1/3  0.1 0.9 0.3 0.8 0.0 0.2 0.3 0.8 0.9 0.8 0.2 0.0 0.5 0.2 0.1 0.0 0.0 0.2 
>Transposon116 	seq1:[-]44224-44669 (445)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.3 0.5 0.0 0.1 0.4 0.5 1.0 0.7 0.2 0.1 0.2 0.0 0.7 0.0 0.0 0.0 
>Transposon117 	seq1:[-]40561-40825 (264)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.4 0.8 0.0 0.3 0.3 0.9 0.9 0.9 0.3 0.1 0.3 0.2 0.7 0.0 0.0 0.0 
>Transposon118 	seq1:[-]32633-33049 (416)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.3 0.5 0.0 0.0 0.6 0.5 0.9 0.8 0.1 0.0 0.0 0.1 0.7 0.1 0.1 0.0 
>Transposon128 	seq1:[+]382281-382489 (208)
Zator,TIR,DNATransposon 2/1/5  0.3 0.6 0.3 0.8 0.1 0.4 0.5 0.6 0.7 1.0 0.1 0.2 0.1 0.3 0.4 0.2 0.1 0.1 
>Transposon129 	seq1:[+]28090-28283 (193)
Zator,TIR,DNATransposon 2/1/5  0.2 0.7 0.1 0.2 0.1 0.3 0.3 0.6 1.0 1.0 0.0 0.5 0.2 0.2 0.6 0.0 0.0 0.0 
>Transposon130 	seq1:[+]685580-685767 (187)
Zator,TIR,DNATransposon 2/1/5  0.4 0.8 0.5 0.5 0.0 0.2 0.4 0.3 0.7 0.3 0.1 0.2 0.1 0.1 0.4 0.2 0.0 0.1 
>Transposon131 	seq1:[+]228276-228461 (185)
hAT,TIR,DNATransposon 2/1/2  0.2 0.8 0.2 0.4 0.2 0.1 0.3 0.9 0.8 1.0 0.1 0.4 0.3 0.1 0.3 0.1 0.0 0.2 
>Transposon132 	seq1:[+]173088-173268 (180)
hAT,TIR,DNATransposon 2/1/2  0.3 0.7 0.3 0.4 0.1 0.3 0.5 0.5 0.8 0.9 0.0 0.2 0.1 0.2 0.1 0.0 0.1 0.2 
>Transposon133 	seq1:[+]304536-304714 (178)
hAT,TIR,DNATransposon 2/1/2  0.1 0.7 0.6 0.7 0.0 0.3 0.2 0.6 0.6 0.8 0.1 0.4 0.1 0.0 0.3 0.0 0.0 0.1 
>Transposon134 	seq1:[+]27016-27193 (177)
hAT,TIR,DNATransposon 2/1/2  0.1 0.8 0.1 0.4 0.0 0.3 0.3 1.0 0.6 0.8 0.1 0.4 0.2 0.0 0.1 0.1 0.0 0.2 
>Transposon135 	seq1:[+]301110-301293 (183)
hAT,TIR,DNATransposon 2/1/2  0.2 0.4 0.25 0.7 0.1 0.1 0.2 0.8 0.9 0.8 0.1 0.4 0.1 0.0 0.4 0.1 0.3 0.1 
>Transposon136 	seq1:[+]599763-599939 (176)
hAT,TIR,DNATransposon 2/1/2  0.2 0.9 0.4 0.7 0.0 0.1 0.7 0.2 0.8 0.9 0.1 0.4 0.1 0.1 0.2 0.0 0.1 0.2 
>Transposon137 	seq1:[+]599287-599459 (172)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.3 0.7 0.0 0.1 0.8 0.7 1.0 1.0 0.1 0.2 0.1 0.0 0.2 0.0 0.2 0.0 
>Transposon138 	seq1:[+]371058-371238 (180)
hAT,TIR,DNATransposon 2/1/2  0.3 0.7 0.3 0.5 0.2 0.1 0.5 0.6 0.8 0.9 0.0 0.5 0.3 0.1 0.3 0.0 0.1 0.1 
>Transposon139 	seq1:[+]293215-293391 (176)
hAT,TIR,DNATransposon 2/1/2  0.0 0.8 0.3 0.5 0.0 0.0 0.5 0.6 1.0 0.7 0.2 0.3 0.2 0.1 0.1 0.2 0.0 0.1 
>Transposon140 	seq1:[+]369228-369397 (169)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.4 0.3 0.2 0.2 0.5 0.6 0.9 0.8 0.1 0.3 0.0 0.2 0.1 0.1 0.1 0.1 
>Transposon141 	seq1:[+]436219-436396 (177)
CMC,TIR,DNATransposon 2/1/3  0.2 0.9 0.2 0.2 0.3 0.4 0.4 0.6 0.7 0.8 0.0 0.2 0.3 0.2 0.3 0.1 0.0 0.1 
>Transposon142 	seq1:[+]209149-209324 (175)
CMC,TIR,DNATransposon 2/1/3  0.1 0.7 0.4 0.4 0.0 0.0 0.3 0.6 0.8 0.7 0.1 0.2 0.4 0.1 0.2 0.1 0.0 0.0 
>Transposon143 	seq1:[-]436804-436981 (177)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.5 0.8 0.2 0.1 0.2 0.8 1.0 1.0 0.1 0.3 0.0 0.0 0.7 0.0 0.1 0.1 
>Transposon148 	seq1:[+]364691-364799 (108)
Zator,TIR,DNATransposon 2/1/5  0.1 0.5 0.4 0.4 0.0 0.3 0.2 0.6 0.9 0.7 0.1 0.3 0.2 0.1 0.5 0.1 0.0 0.0 
>Transposon149 	seq1:[-]572182-572292 (110)
Zator,TIR,DNATransposon 2/1/5  0.3 0.4 0.3 0.3 0.0 0.3 0.2 0.7 1.0 0.8 0.4 0.3 0.0 0.0 0.5 0.0 0.0 0.0 
>Transposon150 	seq1:[-]663243-663350 (107)
Zator,TIR,DNATransposon 2/1/5  0.1 0.4 0.5 0.3 0.0 0.1 0.5 0.7 1.0 0.7 0.2 0.4 0.0 0.2 0.5 0.1 0.0 0.1 
>Transposon151 	seq1:[-]677878-677989 (111)
hAT,TIR,DNATransposon 2/1/2  0.0 0.6 0.3 0.5 0.0 0.2 0.3 0.5 0.8 0.6 0.1 0.3 0.1 0.1 0.3 0.0 0.1 0.2 
>Transposon178 	seq1:[-]100083-100228 (145)
hAT,TIR,DNATransposon 2/1/2  0.2 0.5 0.4 0.6 0.0 0.4 0.4 0.5 0.9 0.9 0.2 0.3 0.2 0.0 0.3 0.0 0.1 0.2 
>Transposon182 	seq1:[-]10386-10560 (174)
Zator,TIR,DNATransposon 2/1/5  0.2 0.7 0.3 0.8 0.0 0.5 0.5 0.6 0.9 0.9 0.0 0.1 0.1 0.0 0.7 0.0 0.0 0.2 
>Transposon183 	seq1:[-]27422-27909 (487)
hAT,TIR,DNATransposon 2/1/2  0.1 0.9 0.2 0.7 0.0 0.0 0.5 0.6 0.9 0.8 0.1 0.2 0.1 0.0 0.1 0.0 0.0 0.0 
